question;optionA;optionB;correctAnswer;infoA;infoB
Kumpi joki on pidempi?;Tonava;Reinjoki;A;Tonava on Euroopan toiseksi pisin joki (2 850 km) ja virtaa 10 maan läpi.;Reinjoki on 1 233 km pitkä ja virtaa Alpeista Pohjanmereen.
Kumpi vuoristo on korkeampi?;Pyreneet;Alpit;B;Pyreneiden korkein huippu Aneto on 3 404 metriä.;Alppien korkein huippu Mont Blanc on 4 809 metriä.
Kumpi järvi on suurempi pinta-alaltaan?;Laatokka;Vänern;A;Laatokka on Euroopan suurin järvi (17 700 km²).;Vänern on Länsi-Euroopan suurin järvi (5 655 km²).
Kumpi meri on syvempi?;Välimeri;Itämeri;A;Välimeren syvin kohta on 5 267 metriä.;Itämeren keskisyvyys on vain 55 metriä.
Kumpi vuori on korkeampi?;Matterhorn;Mont Blanc;B;Matterhorn on 4 478 metriä korkea ja tunnettu pyramidimaisesta muodostaan.;Mont Blanc on Alppien ja Euroopan korkein huippu (4 809 m).
Kumpi joki on pidempi?;Volga;Tonava;A;Volga on Euroopan pisin joki (3 531 km) ja laskee Kaspianmereen.;Tonava on Euroopan toiseksi pisin joki (2 850 km).
Kumpi saari on suurempi?;Iso-Britannia;Islanti;A;Iso-Britannia on Euroopan suurin saari (229 848 km²).;Islanti on Euroopan toiseksi suurin saari (103 000 km²).
Kumpi niemimaa on suurempi?;Skandinavian niemimaa;Iberian niemimaa;A;Skandinavian niemimaa on noin 750 000 km².;Iberian niemimaa on noin 582 000 km².
Kumpi järvi on syvempi?;Saimaa;Hornindalsvatnet;B;Saimaan syvin kohta on 82 metriä.;Hornindalsvatnet Norjassa on Euroopan syvin järvi (514 m).
Kumpi vuoristo sijaitsee pohjoisempana?;Alpit;Skandit;B;Skandit ulottuvat Norjassa napapiirin pohjoispuolelle.;Alpit sijaitsevat Keski-Euroopassa 46. leveysasteen tienoilla.
Kumpi joki virtaa Suomen läpi?;Tornionjoki;Kemijoki;B;Tornionjoki muodostaa rajan Suomen ja Ruotsin välille.;Kemijoki on kokonaan Suomen puolella ja Suomen pisin joki (550 km).
Kumpi maa rajoittuu Mustallemerelle?;Romania;Puola;A;Romania on yksi kuudesta Mustallemerelle rajoittuvasta maasta.;Puola rajoittuu Itämereen, ei Mustallemerelle.
Kummassa maassa asuu enemmän ihmisiä?;Ranska;Saksa;B;Ranskassa asuu yli 66 miljoonaa ihmistä.;Saksassa asuu yli 84 miljoonaa ihmistä.
Kumpi salmi yhdistää kaksi merta?;Gibraltarinsalmi;Englannin kanaali;A;Gibraltarinsalmi yhdistää Välimeren ja Atlantin valtameren.;Englannin kanaali on meriväylä Britannian ja Ranskan välillä.
Kummassa maassa asuu enemmän ihmisiä?;Portugali;Hollanti;B;Portugalissa asuu yli 10 miljoonaa ihmistä.;Hollannissa asuu yli 18 miljoonaa ihmistä.
Kummassa maassa asuu enemmän ihmisiä?;Espanja;Italia;B;Espanjassa asuu yli 49 miljoonaa ihmistä.;Italiassa asuu yli 59 miljoonaa ihmistä.
Kumpi vuoristo on vanhempi?;Skandit;Alpit;A;Skandit muodostuivat noin 400 miljoonaa vuotta sitten.;Alpit ovat nuorempia, noin 65 miljoonaa vuotta vanhoja.
Kumpi maa on maantieteellisesti pohjoisin?;Norja;Islanti;A;Norjan pohjoisin piste on 71° pohjoista leveyttä.;Islannin pohjoisin piste on noin 66° pohjoista leveyttä.
Kumpi joki virtaa Pariisissa?;Loire;Seine;B;Loire on Ranskan pisin joki (1 006 km) mutta ei virtaa Pariisissa.;Seine virtaa Pariisin läpi ja on 777 km pitkä.
Kumpi on Belgian pääkaupunki?;Bryssel;Varsova;A;Bryssel on Belgian pääkaupunki.;Varsova on Puolan pääkaupunki.
Kumpi on Norjan pääkaupunki?;Bergen;Oslo;B;Oslo on Norjan pääkaupunki.;Bergen on Norjan neljänneksi suurin kaupunki.
Kumpi valtio sijaitsee vuoristossa?;Andorra;Monaco;A;Andorra sijaitsee Pyreneiden vuoristossa.;Monaco sijaitsee Välimeren rannalla tasaisella alueella.
Kumpi meri on suurempi pinta-alaltaan?;Adrianmeri;Itämeri;B;Adrianmeri on noin 138 000 km² suuri pinta-alaltaan.;Itämeri on 377 000 km² suuri pinta-alaltaan.
Kumpi joki laskee Mustallemerelle?;Tonava;Volga;A;Tonava laskee Mustallemerelle Romanian kohdalla.;Volga laskee Kaspianmereen.
Kumpi vuori on tulivuori?;Etna;Mont Blanc;A;Etna Sisiliassa on Euroopan korkein aktiivinen tulivuori (3 357 m).;Mont Blanc ei ole tulivuori vaan graniitista muodostunut huippu.
Kumpi saari on lähempänä Afrikkaa?;Sisilia;Sardinia;A;Sisilia on vain 140 km päässä Tunisiasta.;Sardinia on noin 200 km päässä Afrikan rannikosta.
Kumpi joki on pidempi?;Kemijoki;Loire;B;Kemijoki on Suomen pisin joki (noin 550 km).;Loire on Ranskan pisin joki (1 006 km) ja Kemijokea suurempi.
Kumpi niemimaa on eteläisin?;Peloponnesoksen niemimaa;Iberian niemimaa;A;Peloponnesoksen eteläkärki ulottuu 36° pohjoiseen leveyteen.;Iberian niemimaan eteläkärki on 36° pohjoista leveyttä.
Kumpi vuoristo on pidempi?;Alpit;Ural;B;Alppien kaari on noin 1 200 km pitkä.;Uralin vuoristo on noin 2 500 km pitkä.
Kumpi järvi on suolaisempi?;Kaspianmeri;Laatokka;A;Kaspianmeri on suolainen järvi (suolapitoisuus noin 1,2%).;Laatokka on makeavetinen järvi.
Kumpi joki alkaa Alpeista?;Veikseli;Reinjoki;B;Veikseli saa alkunsa Karpaateilta Puolassa.;Reinjoki saa alkunsa Sveitsin Alpeista.
Kumpi saari on tiheämmin asuttu?;Malta;Islanti;A;Maltalla asuu noin 1 500 ihmistä per km².;Islannissa asuu vain noin 3,5 ihmistä per km².
Kumpi meri on Suomen rannikolla?;Itämeri;Pohjanmeri;A;Suomen rannikko on kokonaan Itämeren äärellä.;Pohjanmeri on Norjan, Tanskan ja Britannian välissä.
Kumpi vuoristo muodostaa rajan Euroopan ja Aasian välille?;Ural;Kaukasus;A;Uralin vuoristo on perinteinen Euroopan ja Aasian raja.;Kaukasus on myös rajalla, mutta Ural on tunnetumpi rajana.
Kumpi joki virtaa Lontoossa?;Thames;Severn;A;Thames virtaa Lontoon läpi ja on 346 km pitkä.;Severn on Britannian pisin joki (354 km) mutta ei virtaa Lontoossa.
Kumpi järvi sijaitsee Alpeilla?;Balatonjärvi;Comojärvi;B;Balatonjärvi on Unkarissa tasangolla.;Comojärvi on Pohjois-Italiassa Alppien kupeessa.
Kumpi vuori on korkeampi?;Mont Blanc;Elbrus;B;Mont Blanc on 4 809 m korkea.;Elbrus Kaukasuksella on 5 642 m korkea.
Kumpi joki on pidempi?;Dnepr;Reinjoki;A;Dnepr on 2 201 km pitkä ja virtaa Ukrainan läpi.;Reinjoki on 1 233 km pitkä.
Kumpi niemimaa sijaitsee Pohjois-Euroopassa?;Jyllannin niemimaa;Apenniinien niemimaa;A;Jyllannin niemimaa muodostaa Tanskan mannerosan.;Apenniinien niemimaa on Italia.
Kumpi salmi erottaa Euroopan Aasiasta?;Messinin salmi;Bosporinsalmi;B;Messinin salmi erottaa Italian mantereesta Sisilian.;Bosporinsalmi Turkissa erottaa Euroopan ja Aasian.
Kumpi joki virtaa Wienissä?;Tonava;Reinjoki;A;Tonava virtaa Wienin läpi matkallaan Mustallemerelle.;Reinjoki virtaa Saksan ja Alankomaiden läpi.
Kumpi järvi on Sveitsin ja Ranskan rajalla?;Genevenjärvi;Zurichinjärvi;A;Genevenjärvi on Sveitsin ja Ranskan rajalla.;Zurichinjärvi on kokonaan Sveitsissä.
Kumpi vuoristo on matalampi?;Alpit;Sudeettien vuoristo;B;Alppien korkein huippu on 4 809 metriä.;Sudeettien korkein huippu on 1 603 metriä.
Kumpi joki laskee Itämereen?;Reinjoki;Veikseli;B;Reinjoki laskee Pohjanmereen.;Veikseli virtaa Puolan läpi ja laskee Itämereen.
Kumpi saari on vulkaaninen?;Islanti;Iso-Britannia;A;Islanti sijaitsee Atlantin keskiselänteellä ja on vulkaanisesti aktiivinen.;Iso-Britannia ei ole vulkaanisesti aktiivinen.
Kumpi meri on syvempi?;Itämeri;Mustameri;B;Itämeren syvin kohta on 459 metriä.;Mustanmeren syvin kohta on 2 212 metriä.
Kumpi on Euroopan pienin maa väkiluvultaan?;Vatikaani;Luxemburg;A;Vatikaanissa asuu alle 1000 ihmistä.;Luxemburgin väkiluku on yli 600 000.
Kumpi järvi on suurempi?;Laatokka;Saimaa;A;Laatokka on Euroopan suurin järvi (18 135 km²).;Saimaa on 4 400 km² ja Suomen suurin järvi.
Kumpi vuori on aktiivinen tulivuori?;Olympos;Vesuvius;B;Olympos-vuori Kreikassa ei ole tulivuori.;Vesuvius on aktiivinen tulivuori Napolin lähellä.
Kumpi joki virtaa Budapestissa?;Tonava;Elbe;A;Tonava jakaa Budapestin Budaan ja Pestiin.;Elbe virtaa Saksan läpi.
Kumpi salmi on leveämpi?;Englannin kanaali;Gibraltarinsalmi;A;Englannin kanaalin kapein kohta on 34 km.;Gibraltarinsalmen kapein kohta on vain 14 km.
Kumpi maa on pinta-alaltaan suurempi?;Itävalta;Suomi;B;Itävalta on Euroopan maista 19. suurin.;Suomi on Euroopan maista kahdeksanneksi suurin.
Kumpi vuoristo on vanhempi?;Ural;Karpaatit;A;Ural muodostui noin 300 miljoonaa vuotta sitten.;Karpaatit ovat nuorempia, noin 30 miljoonaa vuotta vanhoja.
Kummassa maassa on enemmän järviä?;Italia;Suomi;B;Suomessa on eniten yli 0,5 hehtaarin kokoisia järviä Euroopassa (yli 160 000).;Italiassa on monta kuuluisaa järveä, mutta kukumäärältään niitä on vain muutama tuhat.
Kumpi saari on idempänä?;Kypros;Kreeta;A;Kypros sijaitsee Välimeren itäosassa.;Kreeta on Kyproksen länsipuolella.
Kumpi meri on lämpimämpi kesällä?;Adrianmeri;Itämeri;A;Adrianmeren lämpötila nousee kesällä yli 25°C.;Itämeri lämpenee kesällä noin 17-20°C.
Kumpi joki virtaa kolmen pääkaupungin läpi?;Reinjoki;Tonava;B;Reinjoki ei virtaa yhdenkään pääkaupungin läpi.;Tonava virtaa Wienin, Bratislavan ja Budapestin läpi.
Kumpi vuoristo muodostaa Espanjan ja Ranskan rajan?;Pyreneet;Alpit;A;Pyreneet ulottuvat Atlantilta Välimerelle Espanjan ja Ranskan rajalla.;Alpit ovat Ranskan ja Italian sekä Sveitsin rajalla.
Kumpi järvi on kapeampi?;Comojärvi;Gardasjärvi;A;Comojärvi on vain 4,5 km leveimmillään.;Gardasjärvi on jopa 17 km leveä.
Mikä on Italian pääkaupunki;Milano;Rooma;B;Milano on Italian toiseksi suurin kaupunki.;Rooma on Italian pääkaupunki ja myös Italian suurin.
Kumpi saari on Kreikalle kuuluva?;Kreeta;Korsika;A;Kreeta on Kreikan suurin saari.;Korsika kuuluu Ranskalle.
Kumpi niemimaista on läntisempi?;Iberian niemimaa;Balkanin niemimaa;A;Iberian niemimaa on Euroopan lounaiskolkka.;Balkanin niemimaa on Kaakkois-Euroopassa.
Kumpi vuori on Kreikan korkein?;Olympos;Parnassos;A;Olympos on Kreikan korkein vuori (2 917 m).;Parnassos on 2 457 m korkea.
Mikä on Euroopan eteläisin maa?;Portugali;Kreikka;B;Portugali on Euroopan läntisin maa.;Kreikan eteläisimmät saaret, kuten Gavdos, ovat Euroopan eteläisin osa.
Kumpi maa on Euroopassa;Afganistan;Puola;B;Afganistan kuuluu etelä-Aasiaan.;Puola on osa Eurooppaa.
Kumpi meri on suolaisempi?;Välimeri;Itämeri;A;Välimeren suolapitoisuus on noin 38 promillea.;Itämeren suolapitoisuus on vain 7-8 promillea.
Kumpi vuoristo on korkeampi?;Kaukasus;Karpaatit;A;Kaukasuksen korkein huippu Elbrus on 5 642 m.;Karpaattien korkein huippu on 2 655 m.
Kumpi on Ranskan naapurimaa?;Puola;Espanja;B;Puolan ja Ranskan välissä on Saksa.;Espanjalla ja Ranskalla on noin 450 km yhteistä rajaa.
Kumpi saari on pohjoisempi?;Huippuvuoret;Islanti;A;Huippuvuoret (Svalbard) ulottuvat lähes 81° pohjoiseen.;Islanti ulottuu noin 66° pohjoiseen.
Kumpi järvi on Italiassa?;Balatonjärvi;Maggiorejärvi;B;Balatonjärvi on Unkarissa.;Maggiorejärvi on Pohjois-Italiassa Alpeilla.
Kumpi on Kreikan pääkaupunki;Ateena;Zagreb;A;Ateena on Kreikan suurin kaupunki ja myös maan pääkaupunki.;Zagreb on Kroatian pääkaupunki.
Kumpi vuori sijaitsee Italiassa?;Etna;Teide;A;Etna on Sisiliassa Italiassa.;Teide on Kanariansaarilla Espanjassa.
Kumpi meri on Euroopan ja Afrikan välissä?;Välimeri;Mustameri;A;Välimeri erottaa Euroopan ja Afrikan.;Mustameri on Euroopan ja Aasian välissä.
Kummalla maalla on enemmän rajanaapureita?;Sveitsi;Saksa;B;Sveitsillä on viisi rajanaapuria.;Saksalla on yhdeksän rajanaapuria.
Kumpi joki alkaa Sveitsin Alpeista?;Rhône;Elbe;A;Rhône saa alkunsa Sveitsin Alpeista ja laskee Välimerelle.;Elbe saa alkunsa Tšekistä.
Kumpi on Sveitsin Pääkaupunki;Bern;Berliini;A;Bern on Sveitsin pääkaupunki.;Berliini on Saksan pääkaupunki.
Kumpi niemimaa on pienempi?;Iberian niemimaa;Jyllannin niemimaa;B;Iberian niemimaa on noin 582 000 km².;Jyllannin niemimaa on noin 29 775 km².
Kumpi joki virtaa Berliinissä?;Spree;Elbe;A;Spree virtaa Berliinin läpi ja on 400 km pitkä.;Elbe virtaa Hampurin läpi.
Kumpi on Viron Pääkaupunki;Tallinna;Riika;A;Tallinna on Viron pääkaupunki.;Riika on Latvian pääkaupunki.
Kumpi on Tanskan Pääkaupunki;Oslo;Kööpenhamina;B;Oslo on Norjan pääkaupunki.;Kööpenhamina on Tanskan pääkaupunki.
Kumpi vuoristo on Tšekissä?;Sudeettien vuoristo;Tatrat;A;Sudeettien vuoristo on Tšekin ja Puolan rajalla.;Tatrat ovat Puolan ja Slovakian rajalla.
Kumpi joki on Britannian pisin?;Thames;Severn;B;Thames on 346 km pitkä.;Severn on 354 km pitkä.
Kumpi meri yhdistää Itämeren Pohjanmereen?;Kattegat;Bosporinsalmi;A;Kattegat ja Skagerrak yhdistävät Itämeren Pohjanmereen.;Bosporinsalmi yhdistää Mustanmeren Marmaranmereen.
Kumpi on suurempi kaupunki pinta-alaltaan?;Pariisi;Rovaniemi;B;Pariisi on väkiluvultaan Euroopan Union suurin metropolialue.;Rovaniemi on pinta-alaltaan sekä Suomen että Euroopan suurin kaupunki.
Kummassa maassa on enemmän asukkaita?;Suomi;Ruotsi;B;Suomessa asuu noin 5,6 miljoonaa ihmistä.;Ruotsissa asuu noin 10,7 miljoonaa ihmistä.
Kummassa maassa on enemmän asukkaita?;Norja;Tanska;B;Norjassa asuu noin 5,6 miljoonaa ihmistä.;Tanskassa asuu noin 6 miljoonaa ihmistä.
Kummassa maassa on enemmän asukkaita?;Iso-Britannia;Tsekki;A;Iso-Britanniassa asuu noin 69 miljoonaa ihmistä.;Tsekissä asuu noin 10,6 miljoonaa ihmistä.
Kumpi järvi on Ruotsissa?;Vättern;Onega;A;Vättern on Ruotsin toiseksi suurin järvi.;Onega on Venäjällä.
Kumpi vuoristo on Italian selkäranka?;Alpit;Apenniinit;B;Alpit ovat Pohjois-Italian rajalla.;Apenniinit ulottuvat läpi Italian niemimaan.
Kumpi joki virtaa Kölnissä?;Reinjoki;Elbe;A;Reinjoki virtaa Kölnin läpi Saksassa.;Elbe virtaa Hampurin ja Dresdenin läpi.
Kumpi meri on matalampi?;Asovanmeri;Adrianmeri;A;Asovanmeren keskisyvyys on vain 7 metriä.;Adrianmeren keskisyvyys on 252 metriä.
Kumpi järvi on Suomessa?;Onega;Päijänne;B;Onega on järvi Venäjällä.;Päijänne on Suomen toiseksi suurin järvi.
Kumpi vuoristo on Romanian pääasiallinen vuoristo?;Karpaatit;Alpit;A;Karpaatit kaartuvat Romanian läpi.;Alpit eivät ulotu Romaniaan.
Kumpi joki on Venäjän pisin?;Ural-joki;Volga;B;Ural-joki on 2 428 km pitkä.;Volga on 3 531 km pitkä ja Euroopan pisin joki.
Kumpi saari on Tanskalle kuuluva?;Grönlanti;Islanti;A;Grönlanti on Tanskan itsehallintoalue.;Islanti on itsenäinen valtio.
Kumpi järvi on Itävallan rajalla?;Comojärvi;Bodenjärvi;B;Comojärvi on kokonaan Italiassa.;Bodenjärvi on Itävallan, Saksan ja Sveitsin rajalla.
Kumpi maa on pinta-alaltaan suurempi?;Ranska;Saksa;A;Ranska on pinta-alaltaan 643 801 km².;Saksa on pinta-alaltaan 357 022 km².
Kummassa maassa on enemmän asukkaita?;Suomi;Ruotsi;B;Suomessa asuu noin 5,6 miljoonaa ihmistä.;Ruotsissa asuu noin 10,6 miljoonaa ihmistä.
Kumpi maa on pinta-alaltaan suurempi?;Ranska;Puola;A;Ranska on pinta-alaltaan Euroopan kolmanneksi suurin.;Puola on pinta-alaltaan Euroopan yhdeksänneksi suurin.
Kumpi vuori on Espanjan korkein?;Teide;Mulhacén;A;Teide Teneriffalla on 3 718 m korkea.;Mulhacén on Espanjan mantereella korkein (3 479 m).

